20230315T,79.173000000,80.511600000,71.530600000,73.808300000,15301.402000000
20230316T,73.808300000,75.609800000,73.107100000,74.832100000,8752.627000000
20230317T,74.832100000,80.629400000,73.700900000,80.600300000,9402.504000000
20230318T,80.600300000,81.841800000,77.247600000,77.777100000,11781.448000000
20230319T,77.777100000,81.579500000,77.532000000,79.298500000,7598.039000000
20230320T,79.298500000,80.102500000,75.696000000,75.973800000,10331.458000000
20230321T,75.973800000,79.552300000,74.300000000,78.914700000,7729.134000000
20230322T,78.914700000,79.295600000,72.687600000,75.097300000,13931.361000000
20230323T,75.097300000,80.381500000,74.337100000,77.111000000,16213.772000000
20230324T,77.111000000,77.341600000,72.209100000,73.021200000,17502.296000000
20230325T,73.021200000,73.441100000,70.134000000,71.360900000,6949.603000000
20230326T,71.360900000,73.356100000,70.886500000,72.886300000,7206.815000000
20230327T,72.886300000,73.614500000,68.124800000,69.735300000,11219.864000000
20230328T,69.735300000,71.634800000,68.769100000,70.635500000,8674.979000000
20230329T,70.635500000,73.452900000,70.552000000,72.869800000,6901.901000000
20230330T,72.869800000,74.363000000,70.134000000,71.350400000,8258.433000000
20230331T,71.350400000,74.520600000,70.801000000,74.117200000,11443.496000000
20230401T,74.117200000,74.831600000,73.514500000,74.166200000,6260.784000000
20230402T,74.166200000,74.750000000,71.725300000,73.054200000,5248.819000000
20230403T,73.054200000,75.046900000,70.830400000,73.759000000,11013.729000000
20230404T,73.759000000,76.894800000,73.003800000,76.426600000,10181.335000000
20230405T,76.426600000,79.380800000,75.890700000,78.211400000,11397.523000000
20230406T,78.211400000,81.431100000,77.492200000,80.412500000,13402.781000000
20230407T,80.412500000,80.948700000,77.495300000,78.292400000,8992.809000000
20230408T,78.292400000,78.840700000,75.873000000,76.326700000,4995.205000000
20230409T,76.326700000,77.501700000,74.760500000,76.281700000,4749.944000000
20230410T,76.281700000,78.674300000,75.133700000,78.525500000,5892.183000000
20230411T,78.525500000,80.500000000,78.054700000,79.058100000,8613.833000000
20230412T,79.058100000,79.663000000,75.526000000,78.914700000,9365.446000000
20230413T,78.914700000,81.786500000,76.750000000,81.245600000,14947.628000000
20230414T,81.245600000,83.807300000,80.112900000,82.532400000,15864.924000000
20230415T,82.532400000,84.233300000,81.042700000,82.489600000,8285.062000000
20230416T,82.489600000,83.728500000,80.777900000,83.427600000,8588.618000000
20230417T,83.427600000,84.450900000,80.197100000,80.920000000,13816.194000000
20230418T,80.920000000,84.291100000,79.600000000,81.954600000,14345.535000000
20230419T,81.954600000,82.083700000,71.650400000,73.977900000,17667.932000000
20230420T,73.977900000,75.333200000,71.605300000,72.356000000,9720.218000000
20230421T,72.356000000,73.361900000,68.100000000,69.146400000,14708.061000000
20230422T,69.146400000,70.899900000,68.687900000,70.819700000,4494.443000000
20230423T,70.819700000,71.027800000,68.358400000,70.330900000,8498.964000000
20230424T,70.330900000,71.476300000,68.089800000,69.857000000,6935.567000000
20230425T,69.857000000,71.367600000,68.390500000,71.236600000,8040.128000000
20230426T,71.236600000,74.599600000,65.892200000,69.479900000,18382.770000000
20230427T,69.479900000,72.074600000,68.832000000,71.446200000,14310.022000000
20230428T,71.446200000,72.342100000,70.050000000,72.086800000,10904.831000000
20230429T,72.086800000,72.704800000,71.274100000,71.789700000,6960.345000000
20230430T,71.789700000,72.550400000,70.142000000,70.231600000,7554.399000000
20230501T,70.231600000,70.752500000,67.538300000,68.912400000,9984.457000000
20230502T,68.912400000,69.574700000,68.000000000,69.124500000,7298.709000000
20230503T,69.124500000,71.829300000,67.547900000,71.729800000,9773.480000000
20230504T,71.729800000,72.002800000,70.289200000,70.834500000,6832.182000000
20230505T,70.834500000,74.229400000,70.021400000,73.408000000,13023.877000000
20230506T,73.408000000,74.089800000,68.508900000,69.775100000,10234.150000000
20230507T,69.775100000,70.191600000,68.200700000,68.726000000,4829.448000000
20230508T,68.726000000,69.161700000,62.532100000,64.475800000,28954.696000000
20230509T,64.475800000,64.816600000,63.644400000,64.420200000,14904.430000000
20230510T,64.420200000,65.808200000,61.504900000,64.623100000,26156.437000000
20230511T,64.623100000,64.732800000,60.846900000,62.279300000,11809.227000000
20230512T,62.279300000,63.260900000,60.155000000,63.189500000,10483.169000000
20230513T,63.189500000,63.189500000,61.900000000,62.197300000,4220.128000000
20230514T,62.197300000,63.405100000,61.579000000,62.221000000,3905.972000000
20230515T,62.221000000,64.524400000,61.439000000,62.786000000,8126.876000000
20230516T,62.786000000,63.246000000,61.915400000,62.941200000,7684.736000000
20230517T,62.941200000,64.978500000,61.810000000,64.978500000,3072.736000000
20230518T,64.978500000,67.417800000,64.436900000,65.020100000,10156.035000000
20230519T,65.020100000,65.641400000,63.932000000,65.371800000,4116.797000000
20230520T,65.371800000,65.374800000,64.568300000,65.215200000,1792.320000000
20230521T,65.215200000,65.478500000,63.437400000,63.924700000,4343.074000000
20230522T,63.924700000,64.807200000,62.925100000,64.260600000,2015.248000000
20230523T,64.260600000,66.263200000,64.071400000,65.477600000,3331.609000000
20230524T,65.477600000,65.477600000,62.308100000,63.952200000,6059.191000000
20230525T,63.952200000,64.216700000,62.307800000,63.474000000,10269.846000000
20230526T,63.474000000,65.710100000,62.825500000,64.602500000,15084.528000000
20230527T,64.602500000,65.721900000,64.418100000,65.721900000,5776.624000000
20230528T,65.721900000,69.500000000,65.440800000,69.061700000,6199.120000000
20230529T,69.061700000,69.432300000,66.794400000,67.352100000,8473.870000000
20230530T,67.352100000,67.895900000,66.225700000,66.647100000,5722.120000000
